Fecha,Temperatura (K),Humedad (%),Presion (hPa)
2025-12-01 19:48:13,295.88,55.67,816.0
2025-12-01 19:48:12,295.89,55.68,816.0
2025-12-01 19:48:11,295.89,55.68,816.0
2025-12-01 19:48:10,295.90,55.69,816.0
2025-12-01 19:48:09,295.90,55.69,816.0
2025-12-01 19:48:08,295.91,55.72,816.0
2025-12-01 19:48:07,295.92,55.74,816.0
2025-12-01 19:48:06,295.93,55.76,816.0
2025-12-01 19:48:05,295.94,55.8,816.0
2025-12-01 19:48:04,295.95,55.84,816.0
2025-12-01 19:48:03,295.95,55.89,816.0
2025-12-01 19:48:02,295.96,55.94,816.0
2025-12-01 19:48:01,295.98,56.0,816.0
2025-12-01 19:48:00,295.99,56.05,816.0
2025-12-01 19:47:59,296.00,56.13,816.0
2025-12-01 19:47:58,296.01,56.2,816.0
2025-12-01 19:47:57,296.03,56.28,816.0
2025-12-01 19:47:56,296.04,56.38,816.0
2025-12-01 19:47:55,296.05,56.51,816.0
2025-12-01 19:47:53,296.07,56.65,816.0
2025-12-01 19:47:52,296.10,56.8,816.0
2025-12-01 19:47:51,296.13,57.0,816.0
2025-12-01 19:47:50,296.15,57.18,816.0
2025-12-01 19:47:49,296.17,57.42,816.0
2025-12-01 19:47:48,296.21,57.69,816.0
2025-12-01 19:47:47,296.25,58.04,816.0
2025-12-01 19:47:46,296.31,58.44,816.0
2025-12-01 19:47:45,296.38,58.88,816.0
2025-12-01 19:47:44,296.46,59.43,816.0
2025-12-01 19:47:43,296.59,60.01,816.0
2025-12-01 19:47:42,296.78,60.57,816.0
2025-12-01 19:47:41,297.27,60.99,816.1
2025-12-01 19:47:40,298.71,61.13,816.1
2025-12-01 19:47:39,298.34,60.53,816.1
2025-12-01 19:47:38,296.26,59.92,816.1
2025-12-01 19:47:37,296.24,60.08,816.0
2025-12-01 19:47:36,296.83,60.35,816.1
2025-12-01 19:47:35,297.97,60.05,816.0
2025-12-01 19:47:34,297.41,58.54,816.0
2025-12-01 19:47:33,295.31,57.37,815.9
2025-12-01 19:47:32,295.28,57.23,816.0
2025-12-01 19:47:31,295.28,57.26,816.0
2025-12-01 19:47:30,295.27,57.27,816.0
2025-12-01 19:47:29,295.27,57.27,816.0
2025-12-01 19:47:28,295.26,57.3,816.0
2025-12-01 19:47:27,295.25,57.3,816.0
2025-12-01 19:47:26,295.25,57.3,816.0
2025-12-01 19:47:25,295.24,57.29,816.0
2025-12-01 19:47:24,295.23,57.28,816.0
2025-12-01 19:47:23,295.22,57.25,816.0
2025-12-01 19:47:22,295.22,57.23,816.0
2025-12-01 19:47:21,295.20,57.2,816.0
2025-12-01 19:47:19,295.19,57.17,815.9
2025-12-01 19:47:18,295.18,57.17,816.0
2025-12-01 19:47:17,295.17,57.17,816.0
2025-12-01 19:47:16,295.16,57.18,816.0
2025-12-01 19:47:15,295.16,57.19,816.0
2025-12-01 19:47:14,295.16,57.22,816.0
2025-12-01 19:47:13,295.16,57.21,816.0
2025-12-01 19:47:12,295.15,57.22,816.0
2025-12-01 19:47:11,295.16,57.22,815.9
2025-12-01 19:47:10,295.15,57.22,816.0
2025-12-01 19:47:09,295.16,57.22,816.0
2025-12-01 19:47:08,295.16,57.23,816.0
2025-12-01 19:47:07,295.15,57.25,816.0
2025-12-01 19:47:06,295.15,57.25,816.0
2025-12-01 19:47:05,295.15,57.25,815.9
2025-12-01 19:47:04,295.15,57.25,816.0
2025-12-01 19:47:03,295.15,57.25,816.0
2025-12-01 19:47:02,295.16,57.23,816.0
2025-12-01 19:47:01,295.15,57.23,816.0
2025-12-01 19:47:00,295.15,57.23,816.0
2025-12-01 19:46:59,295.15,57.23,816.0
2025-12-01 19:46:58,295.15,57.26,816.0
2025-12-01 19:46:57,295.15,57.25,816.0
2025-12-01 19:46:56,295.15,57.27,816.0
2025-12-01 19:46:55,295.15,57.28,816.0
2025-12-01 19:46:54,295.15,57.29,816.0
2025-12-01 19:46:53,295.15,57.3,816.0
2025-12-01 19:46:52,295.15,57.32,816.0
2025-12-01 19:46:51,295.15,57.35,816.0
2025-12-01 19:46:50,295.15,57.38,816.0
2025-12-01 19:46:49,295.16,57.4,816.0
2025-12-01 19:46:48,295.15,57.4,816.0
2025-12-01 19:46:46,295.15,57.42,816.0
