Fecha	Temperatura (K)	Humedad (%)	Presion (Pa)	Device ID
2025-12-02 17:11:07	295.77	58.29	81446	24:D7:EB:59:2E:30
2025-12-02 17:11:07	295.77	58.3	81447	24:D7:EB:59:2E:30
2025-12-02 17:11:06	295.77	58.29	81445	24:D7:EB:59:2E:30
2025-12-02 17:11:06	295.77	58.29	81448	24:D7:EB:59:2E:30
2025-12-02 17:11:05	295.77	58.3	81445	24:D7:EB:59:2E:30
2025-12-02 17:11:05	295.77	58.29	81446	24:D7:EB:59:2E:30
2025-12-02 17:11:04	295.77	58.32	81450	24:D7:EB:59:2E:30
2025-12-02 17:11:04	295.77	58.31	81449	24:D7:EB:59:2E:30
2025-12-02 17:11:03	295.77	58.34	81447	24:D7:EB:59:2E:30
2025-12-02 17:11:03	295.77	58.33	81448	24:D7:EB:59:2E:30
2025-12-02 17:11:02	295.77	58.34	81449	24:D7:EB:59:2E:30
2025-12-02 17:11:02	295.77	58.34	81448	24:D7:EB:59:2E:30
2025-12-02 17:11:01	295.77	58.34	81445	24:D7:EB:59:2E:30
2025-12-02 17:11:00	295.77	58.36	81447	24:D7:EB:59:2E:30
2025-12-02 17:11:00	295.77	58.35	81445	24:D7:EB:59:2E:30
2025-12-02 17:10:59	295.78	58.37	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:59	295.78	58.37	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:58	295.77	58.39	81444	24:D7:EB:59:2E:30
2025-12-02 17:10:58	295.78	58.39	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:57	295.77	58.42	81444	24:D7:EB:59:2E:30
2025-12-02 17:10:57	295.77	58.41	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:56	295.77	58.43	81444	24:D7:EB:59:2E:30
2025-12-02 17:10:56	295.77	58.43	81444	24:D7:EB:59:2E:30
2025-12-02 17:10:55	295.77	58.44	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:55	295.77	58.42	81445	24:D7:EB:59:2E:30
2025-12-02 17:10:54	295.77	58.44	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:54	295.77	58.43	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:53	295.78	58.44	81444	24:D7:EB:59:2E:30
2025-12-02 17:10:52	295.78	58.46	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:52	295.79	58.45	81447	24:D7:EB:59:2E:30
