Fecha	Temperatura (K)	Humedad (%)	Presion (Pa)	Device ID
2025-12-02 16:50:33	295.65	59.09	81440	24
2025-12-02 16:50:33	295.65	59.09	81439	24
2025-12-02 16:50:32	295.65	59.1	81442	24
2025-12-02 16:50:32	295.65	59.1	81441	24
2025-12-02 16:50:31	295.65	59.1	81440	24
2025-12-02 16:50:31	295.65	59.1	81441	24
2025-12-02 16:50:30	295.66	59.1	81442	24
2025-12-02 16:50:29	295.65	59.1	81441	24
2025-12-02 16:50:29	295.65	59.1	81441	24
2025-12-02 16:50:28	295.65	59.1	81438	24
2025-12-02 16:50:28	295.66	59.1	81439	24
2025-12-02 16:50:27	295.65	59.1	81439	24
2025-12-02 16:50:27	295.65	59.11	81441	24
2025-12-02 16:50:26	295.66	59.1	81443	24
2025-12-02 16:50:26	295.65	59.11	81441	24
2025-12-02 16:50:25	295.65	59.11	81442	24
2025-12-02 16:50:25	295.65	59.12	81441	24
2025-12-02 16:50:24	295.65	59.12	81440	24
2025-12-02 16:50:24	295.65	59.12	81438	24
2025-12-02 16:50:23	295.65	59.12	81440	24
2025-12-02 16:50:23	295.65	59.12	81440	24
2025-12-02 16:50:22	295.65	59.12	81440	24
2025-12-02 16:50:22	295.65	59.12	81437	24
2025-12-02 16:50:21	295.64	59.12	81439	24
2025-12-02 16:50:20	295.65	59.11	81442	24
2025-12-02 16:50:20	295.65	59.12	81438	24
2025-12-02 16:50:19	295.65	59.11	81442	24
2025-12-02 16:50:19	295.65	59.12	81441	24
2025-12-02 16:50:18	295.65	59.12	81442	24
2025-12-02 16:50:18	295.65	59.12	81442	24
2025-12-02 16:50:17	295.65	59.11	81442	24
2025-12-02 16:50:17	295.65	59.12	81439	24
2025-12-02 16:50:16	295.65	59.12	81439	24
2025-12-02 16:50:16	295.65	59.12	81437	24
2025-12-02 16:50:15	295.65	59.12	81438	24
2025-12-02 16:50:15	295.65	59.13	81440	24
2025-12-02 16:50:14	295.65	59.13	81439	24
2025-12-02 16:50:14	295.65	59.14	81441	24
2025-12-02 16:50:13	295.64	59.13	81435	24
2025-12-02 16:50:12	295.66	59.13	81440	24
2025-12-02 16:50:12	295.65	59.13	81439	24
2025-12-02 16:50:11	295.65	59.13	81438	24
2025-12-02 16:50:11	295.65	59.12	81443	24
2025-12-02 16:50:10	295.65	59.13	81439	24
2025-12-02 16:50:10	295.65	59.12	81439	24
2025-12-02 16:50:09	295.65	59.13	81442	24
2025-12-02 16:50:09	295.65	59.12	81440	24
2025-12-02 16:50:08	295.66	59.12	81441	24
2025-12-02 16:50:08	295.65	59.13	81436	24
2025-12-02 16:50:07	295.65	59.13	81442	24
2025-12-02 16:50:07	295.65	59.13	81441	24
2025-12-02 16:50:06	295.64	59.12	81441	24
2025-12-02 16:50:06	295.64	59.13	81440	24
2025-12-02 16:50:05	295.65	59.13	81438	24
